CMS Unit ID,Primary Unit Identifier,Title,Quantity,Centroid Latitude,Centroid Longitude,Site Name,Materials 1,MType1,Materials 2,MType2,Descriptor 1,Descriptor Type 1,Descriptor 2,Descriptor Type 2,Descriptor 3,Descriptor Type 3,Recovery Date,HPU Method,HPU Number,Horizontal Coordinate 1,Horizontal Coordinate 2,Horizontal Measurement Unit,Horizontal Reference Point,Feature Number,Feature Type,VPU Method,VPU Number,VPU Start,VPU End,Vertical Measurement unit,Vertical Reference Point,Concat,Description 1,Description Type 1,Description Date 1,Description Author 1,Description 2,Description Type 2,Description Date 2,Description Author 2,Description 3,Description Type 3,Description Date 3,Description Author 3,Mgmt Notes 1,Mgmt Note Type 1,Mgmt Note Author 1,Mgmt Note Date 1,Mgmt Notes 2,Mgmt Note Type 2,Mgmt Note Author 2,Mgmt Note Date 2,Mgmt Notes 3,Mgmt Note Type 3,Mgmt Note Author 3,Mgmt Note Date 3,Multimedia Title,Multimedia Internal Record Number,Permanent Location,Insertion Date,Inserted By
11172329,317.140.3,Artifact,1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,metal,AAT,,,artifact (object genre),AAT,,,,,,,20 S / 30 E east half,S20,E30,,,,,,,5.3,6.1,feet,,,"unidentified metal fragment [[sketch]] .75 x 1"" x .45"" pink color 2 'forks' protruding much rust & associated with an iron scrap piece""",Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172330,317.154.14,Bracket (Finish Hardware),1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,bracket (finish hardware),AAT,,,,,,,10 S / 20 E east half,S10,E20,,,,,,,,6.1,feet,,,iron bracket (?) [[sketch]],Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172346,317.174.37,Hinge (Hardware),1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,brass (alloy),AAT,,,hinge (hardware),AAT,,,,,,,,S10,E20,,,,,,,,6.1,feet,,,brass butt hinge,Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172347,317.178.2,Key (Hardware),1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,metal,AAT,,,key (hardware),AAT,fragment (object portion),AAT,,,,,20 S / 20 E west half & 20 S / 10 E east half,S20,E10-20,,,,,,,6.1,,feet,,,skeleton type key head (shank and handle missing),Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172348,317.194.6,Fragment (Object Portion),1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,fragment (object portion),AAT,,,,,,,,S10,W110,,,,,,,5.83,6.01,feet,,,iron fragment [[sketch]],Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172349,317.202.3,Artifact,1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,artifact (object genre),AAT,fragment (object portion),AAT,,,,,,S10,E0,,,,,,,6.2,,feet,,,poss. iron hinge fragment [[sketch]],Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172331,317.206.17,Escutcheon (Hardware),1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,escutcheon (hardware),AAT,,,,,,,,S10,W10,,,,,,fill,,,,,,iron door knob plate,Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172350,317.209.47,Staple,1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,staple,AAT,,,,,,,,S10,W40,,,,,,,,,,surface,,iron staple,Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172353,317.215.31,Artifact,1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,artifact (object genre),AAT,fragment (object portion),AAT,,,,,20 S / 50 W east half,S20,W50,,,,,,,0,,,surface,,"iron fragment with 3 arms"" each 1.3"" long [[sketch]]""",Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172351,317.221.14,Key (Hardware),1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,key (hardware),AAT,,,,,,,,S0,W50,,,,,,fill,,,,,,iron key,Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172352,317.221.46,Staple,1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,staple,AAT,,,,,,,,S0,W50,,,,,,fill,,,,,,scrap iron fragment,Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172354,317.228.11,Shutter Bar,1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,shutter bar,AAT,,,,,,,10 S / 10 W west half,S10,W10,,,,,,,3.6,,feet,,,poss. iron shitter pintle [[sketch]],Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172355,317.235.50,Staple,1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,staple,AAT,,,,,,,,S20,W70,,,,,,fill,,,,,,iron staple,Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172356,317.258.12,Key (Hardware),1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,key (hardware),AAT,,,,,,,,S10,W30,,,,,,,2.5,3.6,feet,,,small railroad style iron key,Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172357,317.285.2,Artifact,1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,artifact (object genre),AAT,fragment (object portion),AAT,,,,,,S10,W100,,,,,,,5.5,5.66,feet,,,"iron fragments: hook"" part fits into hinge of other portion [[sketch]] possible part of a lifting handle for a can lid""",Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172358,317.327.9,Strap Hinge,1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,strap hinge,AAT,fragment (object portion),AAT,,,,,,S10,E60,,,,,,fill,,,,,#REF!,"possible door hinge or latch fragment Iron, 6.3 long -  1.25"" wide on wide end -  .1"" thick -  two holes Diagram [[sketch]]""",Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172361,317.341.21,Tie Rod,0,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,tie rod,AAT,,,,,,,,S10,E60,,,,,,fill,,,,,,iron tie rod,Catalog,,Unknown Cataloger,,,,,,,,,"There was a bag with this number, but it was empty.",Inventory,"Scott, Barbara G.",10/10/2013,This number does not appear in the original catalog,Inventory,"Hoffman, Nancy Buck",10/1/2015,Originally entered as 317.641.21 but changed to 317.341.21 because this artifact matches the description for that number and 317.641.21 did not exist in the original catalog. The artifact is either mislabled or the number was illegible.,Inventory,"Hoffman, Nancy Buck",10/21/2015,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172360,317.356.3,Spike (Straight Fastener),1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,spike (straight fastener),AAT,,,,,,,,S10,W80,,,,,,basement under trap door and stairway,,,,,,"round rod beveled to a square point Rod is broken off on round end, length 5.6 diameter .8""""",Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172362,317.359.16,Artifact,1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,artifact (object genre),AAT,fragment (object portion),AAT,,,,,,S20,W100,,,,,,,6,6.1,feet,,,"small folded iron plate with 2 or 4 screws near the open edge [[sketches]] 2 long -  1"" wide -  4"" thick""",Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172363,317.384.87,Pulley,1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,pulley,AAT,fragment (object portion),AAT,,,,,,S10,W80,,,1,,,fill,,,,,,small pulley wheel with mounting bracket and screws,Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172332,317.384.88,Artifact,1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,artifact (object genre),AAT,,,,,,,,S10,W80,,,1,,,fill,,,,,,"small iron hinge 3.3 long -  1.25"" wide""",Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172333,317.392.9,Doorknob,1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,porcelain (material),AAT,,,doorknob,AAT,,,,,,,,S10,W80,,,1,,,fill,,,,,,porcelain doorknob,Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172364,317.404.1,Spike (Straight Fastener),1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,spike (straight fastener),AAT,,,,,,,Section 1,,,,,,,,cellar rubble fill,,,,,,iron spike,Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172325,317.405.6,Pipe (Conduit),1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,pipe (conduit),AAT,,,,,,,Section 2,,,,,,,,cellar rubble fill,,,,,,"iron pipe segment, 1 diameter""",Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172365,317.406.2,Fragment (Object Portion),1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,cast iron,AAT,,,fragment (object portion),AAT,,,,,,,Section 1,,,,,,,,cellar rubble fill,,,,,,"iron plate 4 x 1 1/2"" -  1/4"" thick -  with one of the long edges leveled and two semicircular holes along that edge.""",Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172334,317.407.11,Pipe (Conduit),1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,pipe (conduit),AAT,,,,,,,Section 2,,,,,,,,cellar rubble fill,,,,,,"iron pipe fragment, threaded at one end with a collar attached",Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172335,317.410.1,Disk (Object Genre),1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,disk (object genre),AAT,,,,,,,Section 2,,,,,,,,cellar rubble fill,,,,,,"iron disk, irregular surface very heavy, about 2 diameter""",Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172336,317.410.2,Pipe (Conduit),1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,pipe (conduit),AAT,,,,,,,Section 2,,,,,,,,cellar rubble fill,,,,,,"iron pipe segment, threaded inside",Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172337,317.413.1,Pipe (Conduit),1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,pipe (conduit),AAT,,,,,,,Section 2,,,,,,,,,,,,,,iron pipe-threaded on the outside on one end,Catalog,,Unknown Cataloger,,,,,,,,,Originally entered as 317.412.1 but changed to 317.413.1 because this artifact matches the description for that number and 317.412.1 was a duplicate that did not match the description for that number. The artifact is either mislabled or the number was illegible.,Inventory,"Hoffman, Nancy Buck",9/30/2015,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172321,317.413.5,Sheet (Flat Object),1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,cast iron,AAT,,,sheet (flat object),AAT,,,,,,,Section 2,,,,,,,,,,,,,,"iron plates- 6 3/4 x 4"" -  1/4"" thick both plates have at least 1 hole evident although they are filled with met. #5 has a small amount of wood at one end""",Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172322,317.413.6,Sheet (Flat Object),1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,cast iron,AAT,,,sheet (flat object),AAT,,,,,,,Section 2,,,,,,,,,,,,,,"iron plates- 6 3/4 x 4"" -  1/4"" thick both plates have at least 1 hole evident although they are filled with met. #5 has a small amount of wood at one end""",Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172368,317.414.1,Strip (Object Genre),1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,wrought iron (iron alloy),AAT,,,strip (object genre),AAT,fragment (object portion),AAT,,,,,Section 2,,,,,,,,,,,,,,"wrought iron straps 14 long -  1"" wide""",Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172323,317.414.2,Pipe (Conduit),1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,pipe (conduit),AAT,,,,,,,Section 2,,,,,,,,,,,,,,"iron pipe, 3/4 diameter -  some japaning evident""",Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172320,317.414.3,Base (Object Component),1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,base (object component),AAT,,,,,,,Section 2,,,,,,,,,,,,,,"iron plate, 6 x 8"" with a 1 3/4"" hole. In the hole is a coil of iron or tin. The top of the plate is beveled on all 4 sides with one side angled more steeply.""",Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172324,317.424.4,Pipe (Conduit),1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,pipe (conduit),AAT,,,,,,,Section 1,,,,,,,,floor of cellar,,,,,,"iron water pipe, threaded at one end",Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172366,317.424.5,Strip (Object Genre),1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,wrought iron (iron alloy),AAT,,,strip (object genre),AAT,fragment (object portion),AAT,,,,,Section 1,,,,,,,,floor of cellar,,,,,,wrought iron band,Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172369,317.431.5,Rod (Object Genre),1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,wrought iron (iron alloy),AAT,,,rod (object genre),AAT,fragment (object portion),AAT,,,,,Section 4,,,,,,,,cellar fill,,,,,,wrought iron with one end flat,Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172367,317.433.4,Hardware (Component),1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,hardware (component),AAT,fragment (object portion),AAT,,,,,Section 4,,,,,,,,cellar fill,,,,,,iron hardware a row of screws down each side,Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172359,317.332A.30,Spike (Straight Fastener),1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,spike (straight fastener),AAT,,,,,,,,S0,W80,,,1,,,,5.6,5.8,feet,,,"iron bolt 6 1/2  long""",Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11211460,317.74.26,Scabbard component,1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,material (matter),AAT,,,scabbard,AAT,finial,AAT,,,,,,S10,E40,,,,,,Rubble fill,,5.75,feet,,,metal ornament [[sketch]],Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,667.Archaeology,7/9/2014,Nancy Hoffman
10115982,317.119.13,Artifact,1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,brass (alloy),AAT,,,artifact (object genre),AAT,strip (object genre),AAT,semicircular,AAT,,,"20 S / 20 E south five feet, southeast corner",S20,E20,,,,,,fill,0,5,feet,surface,,unidentified metal object [[sketch]],Catalog,,Unknown Cataloger,Archaeology; ML FLATTENED BRASS LOOP,ObjectDescription field,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,HC-2-AY-27-2-10,12/3/2002,KDL
10115995,317.135.3,Button (fastener),1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,metal,AAT,,,button (fastener),AAT,military uniform,AAT,component (component object),AAT,,,,N0,E30,,,,,,,5.3,6.3,feet,,,"button Army Infantry, United States regulars, 1815-1821, 1-piece, solid, convex, pewter, diam. 14mm",Catalog,,Unknown Cataloger,"Archaeology; ML12 BUTTON, CF EAGLE INFANTRY, FOLIATED I IN SHIELD",ObjectDescription field,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,HC-2-AY-27-2-10,12/3/2002,KDL
11213412,317.208.1,Button (fastener),0,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,metal,AAT,,,button (fastener),AAT,,,,,,,,S20,W40,,,,,,fill,,,,surface,,"army infantry button, solid convex 19mm loop on back; Eagle w/shield bearing an I"" Reverse: ""Armitage Phily""""",Catalog,,Unknown Cataloger,,,,,,,,,"Note on envelope says Transfer to type coll."" In a bag labeled ""Uniform Buttons Class I"".""",Inventory,"Scott, Barbara G.",4/17/2014,,,,,,,,,,,671.Archaeology,7/9/2014,Nancy Hoffman
11213399,317.208.41,Insignia,0,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,metal,AAT,,,insignia,AAT,,,,,,,,S20,W40,,,,,,fill,,,,surface,,metal fragments,Catalog,,Unknown Cataloger,,,,,,,,,Note with envelope says the fragments were moved to the type collection in 1587 AY.,Inventory,"Scott, Barbara G.",4/17/2014,,,,,,,,,,,671.Archaeology,7/9/2014,Nancy Hoffman
10115980,317.209.9,Buckle,1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,brass (alloy),AAT,,,buckle (strap accessory),AAT,forage cap,AAT,chin strap (costume component),AAT,,,,S10,W40,,,,,,,,,,surface,,"buckle, poss. a hat buckle [[sketch]]",Catalog,,Unknown Cataloger,"Archaeology; ML BRASS BUCKLE, M1858 FORAGE CAP CHIN STRAP",ObjectDescription field,,Unknown Cataloger,,,,,Object number was not recorded in the original CMS record but was added during matching transcription data from original  paper catalog records.,Curatorial Notes,"Hoffman, Nancy Buck",8/27/2015,,,,,,,,,,,HC-2-AY-27-2-10,12/3/2002,KDL
10115984,317.209.10,Insignia,1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,white metal,AAT,,,insignia,AAT,,,,,,,,S10,W40,,,,,,,,,,surface,,[[blank]],Catalog,,Unknown Cataloger,"Archaeology; ML INSIGNIA, LETTER G INCLOSING THE NO. 1",ObjectDescription field,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,HC-2-AY-27-2-10,12/3/2002,KDL
10115992,317.211.3,Button (fastener),1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,metal,AAT,,,button (fastener),AAT,,,,,,,,S0,W40,,,,,,fill,,,,,,"button; Army General Service, 1808-1840 solid, flat, pewter 18mm US"" 7 mm high- shank is cut from button & 4 irregular holes punched through [[sketch]] possibly to make a fatigue button -  or possibly to make a toy -  used like a whistle on a string""",Catalog,,Unknown Cataloger,"Archaeology; ML12 BUTTON, 4 HOLE GENERAL SERVICE, MADE FROM ONE PIECE",ObjectDescription field,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,HC-2-AY-27-2-10,12/3/2002,KDL
10115985,317.214.8,Insignia,1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,brass (alloy),AAT,,,insignia,AAT,,,,,,,,S10,W50,,,,,,fill,,,,,,"copper plate numeral 1"" 1"" high [[sketch]]""",Catalog,,Unknown Cataloger,Archaeology; ML INSIGNIA NUMERAL 1 M51 COLLAR BRASS,ObjectDescription field,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,HC-2-AY-27-2-10,12/3/2002,KDL
10115981,317.240.20,Plume holder,1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,brass (alloy),AAT,,,plume holder,AAT,,,,,,,,S20,W70,,,,,,fill,,,,,,brass plume stand circa 1872 from Horseman's helmet [[sketch]],Catalog,,Unknown Cataloger,Archaeology; ML BRASS PLUME STAND M34 DRAGOON HELMET,ObjectDescription field,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,HC-2-AY-27-2-10,12/3/2002,KDL
10115986,317.258.4,Insignia,1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,brass (alloy),AAT,,,insignia,AAT,,,,,,,,S10,W30,,,,,,,2.5,3.6,feet,,,insignia- the number 1 - possibly brass,Catalog,,Unknown Cataloger,"Archaeology; ML INSIGNIA, NUMERAL 1 M51 COLLAR BRASS",ObjectDescription field,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,HC-2-AY-27-2-10,12/3/2002,KDL
